Codigo,Fecha,Hora,Minutos,Segundos
OK,15/03/2019,19,31,35
OK,15/03/2019,19,31,49
OK,15/03/2019,19,32,15
ERR,15/03/2019,19,32,33
OK,15/03/2019,19,48,56
OK,15/03/2019,19,49,34
OK,15/03/2019,19,50,02
OK,15/03/2019,19,50,10
OK,15/03/2019,19,50,19
ERR,15/03/2019,19,50,20
ERR,15/03/2019,20,31,26
OK,15/03/2019,20,34,18
ERR,15/03/2019,20,34,33
OK,15/03/2019,20,37,45
OK,15/03/2019,20,38,01
OK,15/03/2019,20,38,16
OK,15/03/2019,20,38,41
OK,15/03/2019,20,39,01
OK,15/03/2019,20,39,15
ERR,15/03/2019,20,39,53
OK,15/03/2019,20,40,32
OK,15/03/2019,20,40,48
OK,15/03/2019,20,40,57
OK,15/03/2019,20,41,11
OK,15/03/2019,20,44,12
OK,15/03/2019,20,44,21
OK,15/03/2019,20,44,28
OK,15/03/2019,20,45,10
OK,15/03/2019,20,45,39
OK,15/03/2019,20,45,48
OK,15/03/2019,20,46,22
OK,15/03/2019,20,46,48
OK,15/03/2019,20,48,12
OK,15/03/2019,20,48,19
ERR,15/03/2019,20,48,38
OK,15/03/2019,20,49,11
OK,15/03/2019,20,49,20
ERR,15/03/2019,20,49,23
OK,15/03/2019,20,57,04
OK,15/03/2019,20,57,16
OK,15/03/2019,21,05,52
OK,15/03/2019,21,09,17
OK,15/03/2019,21,09,24
OK,15/03/2019,21,09,32
OK,15/03/2019,21,11,08
OK,15/03/2019,21,11,15
OK,15/03/2019,21,11,22
OK,15/03/2019,21,11,31
OK,15/03/2019,21,11,39
OK,15/03/2019,21,11,46
OK,15/03/2019,21,11,55
OK,15/03/2019,21,12,30
OK,15/03/2019,21,13,32
OK,15/03/2019,21,32,25
OK,15/03/2019,21,36,40
OK,15/03/2019,21,37,11
OK,15/03/2019,21,37,20
OK,15/03/2019,21,41,36
OK,15/03/2019,21,43,05
OK,15/03/2019,21,43,21
OK,15/03/2019,21,43,28
OK,15/03/2019,21,44,26
OK,15/03/2019,21,44,41
OK,15/03/2019,21,44,49
OK,15/03/2019,21,47,32
OK,15/03/2019,21,48,12
OK,15/03/2019,21,52,58
OK,15/03/2019,21,54,02
OK,15/03/2019,21,55,49
OK,15/03/2019,21,57,10
OK,15/03/2019,21,57,17
OK,15/03/2019,21,57,24
OK,15/03/2019,21,57,38
OK,15/03/2019,21,57,47
OK,15/03/2019,21,57,55
OK,15/03/2019,21,59,33
OK,15/03/2019,21,59,45
OK,15/03/2019,21,59,52
OK,15/03/2019,22,00,08
OK,15/03/2019,22,05,26
OK,15/03/2019,22,12,44
OK,15/03/2019,22,13,31
OK,15/03/2019,22,13,46
OK,15/03/2019,22,14,00
OK,15/03/2019,22,14,55
OK,15/03/2019,22,15,02
OK,15/03/2019,22,16,50
OK,15/03/2019,22,17,32
OK,15/03/2019,22,18,46
